Antall målepunkter;Volum (MWh);Prisomraade;Gruppe;Bruksdogn
1056487;24638;NO1;Husholdning;17.08.2021
92942;22959;NO1;Tjenesteyting;17.08.2021
6736;1258;NO2;Jordbruk, skogbruk og fiske;17.08.2021
11739;558;NO2;Uklassifisert;17.08.2021
509;4256;NO2;Bergverksdrift og utvinning;17.08.2021
4124;45549;NO2;Industri;17.08.2021
2140;2793;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;17.08.2021
1712;463;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;17.08.2021
10636;631;NO2;Bygge- og anleggsvirksomhet;17.08.2021
102558;936;NO2;Fritidsbolig;17.08.2021
594150;14896;NO2;Husholdning;17.08.2021
63300;14186;NO2;Tjenesteyting;17.08.2021
12910;1385;NO3;Jordbruk, skogbruk og fiske;17.08.2021
3795;161;NO3;Uklassifisert;17.08.2021
235;5455;NO3;Bergverksdrift og utvinning;17.08.2021
3417;34808;NO3;Industri;17.08.2021
1816;2558;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;17.08.2021
1341;178;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;17.08.2021
5384;410;NO3;Bygge- og anleggsvirksomhet;17.08.2021
57977;519;NO3;Fritidsbolig;17.08.2021
385019;9985;NO3;Husholdning;17.08.2021
50063;9114;NO3;Tjenesteyting;17.08.2021
3752;1027;NO4;Jordbruk, skogbruk og fiske;17.08.2021
4238;92;NO4;Uklassifisert;17.08.2021
202;586;NO4;Bergverksdrift og utvinning;17.08.2021
1778;18038;NO4;Industri;17.08.2021
997;3516;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;17.08.2021
823;87;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;17.08.2021
3577;281;NO4;Bygge- og anleggsvirksomhet;17.08.2021
42760;519;NO4;Fritidsbolig;17.08.2021
238729;8885;NO4;Husholdning;17.08.2021
34731;6663;NO4;Tjenesteyting;17.08.2021
1841;239;NO5;Jordbruk, skogbruk og fiske;17.08.2021
1900;103;NO5;Uklassifisert;17.08.2021
155;11626;NO5;Bergverksdrift og utvinning;17.08.2021
1213;10654;NO5;Industri;17.08.2021
1023;1265;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;17.08.2021
863;161;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;17.08.2021
2762;313;NO5;Bygge- og anleggsvirksomhet;17.08.2021
44127;448;NO5;Fritidsbolig;17.08.2021
247687;5993;NO5;Husholdning;17.08.2021
22390;5435;NO5;Tjenesteyting;17.08.2021
9197;888;NO1;Jordbruk, skogbruk og fiske;16.08.2021
7302;456;NO1;Uklassifisert;16.08.2021
297;174;NO1;Bergverksdrift og utvinning;16.08.2021
4833;12743;NO1;Industri;16.08.2021
1598;985;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;16.08.2021
2287;935;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;16.08.2021
13011;1278;NO1;Bygge- og anleggsvirksomhet;16.08.2021
101925;987;NO1;Fritidsbolig;16.08.2021
1056443;24867;NO1;Husholdning;16.08.2021
92929;22721;NO1;Tjenesteyting;16.08.2021
6735;1150;NO2;Jordbruk, skogbruk og fiske;16.08.2021
11739;531;NO2;Uklassifisert;16.08.2021
509;4283;NO2;Bergverksdrift og utvinning;16.08.2021
4125;45566;NO2;Industri;16.08.2021
2139;2824;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;16.08.2021
1711;465;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;16.08.2021
10610;633;NO2;Bygge- og anleggsvirksomhet;16.08.2021
102552;999;NO2;Fritidsbolig;16.08.2021
594178;15385;NO2;Husholdning;16.08.2021
63301;14251;NO2;Tjenesteyting;16.08.2021
12909;1390;NO3;Jordbruk, skogbruk og fiske;16.08.2021
3795;167;NO3;Uklassifisert;16.08.2021
235;5460;NO3;Bergverksdrift og utvinning;16.08.2021
3416;33915;NO3;Industri;16.08.2021
1819;2530;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;16.08.2021
1341;180;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;16.08.2021
5381;412;NO3;Bygge- og anleggsvirksomhet;16.08.2021
57978;544;NO3;Fritidsbolig;16.08.2021
385002;10192;NO3;Husholdning;16.08.2021
50060;9206;NO3;Tjenesteyting;16.08.2021
3753;1015;NO4;Jordbruk, skogbruk og fiske;16.08.2021
4230;91;NO4;Uklassifisert;16.08.2021
202;578;NO4;Bergverksdrift og utvinning;16.08.2021
1777;18185;NO4;Industri;16.08.2021
997;3436;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;16.08.2021
823;87;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;16.08.2021
3570;282;NO4;Bygge- og anleggsvirksomhet;16.08.2021
42758;537;NO4;Fritidsbolig;16.08.2021
238724;9022;NO4;Husholdning;16.08.2021
34735;6670;NO4;Tjenesteyting;16.08.2021
1840;237;NO5;Jordbruk, skogbruk og fiske;16.08.2021
1900;103;NO5;Uklassifisert;16.08.2021
155;11598;NO5;Bergverksdrift og utvinning;16.08.2021
1213;10662;NO5;Industri;16.08.2021
1023;1382;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;16.08.2021
863;160;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;16.08.2021
2762;327;NO5;Bygge- og anleggsvirksomhet;16.08.2021
44123;494;NO5;Fritidsbolig;16.08.2021
247671;6269;NO5;Husholdning;16.08.2021
22389;5495;NO5;Tjenesteyting;16.08.2021
9198;865;NO1;Jordbruk, skogbruk og fiske;15.08.2021
7299;440;NO1;Uklassifisert;15.08.2021
297;66;NO1;Bergverksdrift og utvinning;15.08.2021
4833;9721;NO1;Industri;15.08.2021
1598;1125;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;15.08.2021
2287;749;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;15.08.2021
12982;964;NO1;Bygge- og anleggsvirksomhet;15.08.2021
101928;1170;NO1;Fritidsbolig;15.08.2021
1056344;24988;NO1;Husholdning;15.08.2021
92922;17362;NO1;Tjenesteyting;15.08.2021
6735;1277;NO2;Jordbruk, skogbruk og fiske;15.08.2021
11739;582;NO2;Uklassifisert;15.08.2021
509;4121;NO2;Bergverksdrift og utvinning;15.08.2021
4126;42874;NO2;Industri;15.08.2021
2139;3338;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;15.08.2021
1711;344;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;15.08.2021
10601;499;NO2;Bygge- og anleggsvirksomhet;15.08.2021
102550;1210;NO2;Fritidsbolig;15.08.2021
594173;15873;NO2;Husholdning;15.08.2021
63300;11442;NO2;Tjenesteyting;15.08.2021
12909;1387;NO3;Jordbruk, skogbruk og fiske;15.08.2021
3794;166;NO3;Uklassifisert;15.08.2021
235;5443;NO3;Bergverksdrift og utvinning;15.08.2021
3413;33464;NO3;Industri;15.08.2021
1820;3145;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;15.08.2021
1341;154;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;15.08.2021
5382;326;NO3;Bygge- og anleggsvirksomhet;15.08.2021
57976;614;NO3;Fritidsbolig;15.08.2021
384980;10532;NO3;Husholdning;15.08.2021
50053;7466;NO3;Tjenesteyting;15.08.2021
3753;910;NO4;Jordbruk, skogbruk og fiske;15.08.2021
4227;93;NO4;Uklassifisert;15.08.2021
202;510;NO4;Bergverksdrift og utvinning;15.08.2021
1777;16744;NO4;Industri;15.08.2021
1000;3415;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;15.08.2021
823;72;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;15.08.2021
3571;232;NO4;Bygge- og anleggsvirksomhet;15.08.2021
42757;609;NO4;Fritidsbolig;15.08.2021
238710;8874;NO4;Husholdning;15.08.2021
34727;5576;NO4;Tjenesteyting;15.08.2021
1842;249;NO5;Jordbruk, skogbruk og fiske;15.08.2021
1900;100;NO5;Uklassifisert;15.08.2021
155;11456;NO5;Bergverksdrift og utvinning;15.08.2021
1213;10142;NO5;Industri;15.08.2021
1022;1506;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;15.08.2021
863;134;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;15.08.2021
2758;280;NO5;Bygge- og anleggsvirksomhet;15.08.2021
44117;557;NO5;Fritidsbolig;15.08.2021
247691;6581;NO5;Husholdning;15.08.2021
22387;4430;NO5;Tjenesteyting;15.08.2021
9198;854;NO1;Jordbruk, skogbruk og fiske;14.08.2021
7298;433;NO1;Uklassifisert;14.08.2021
297;66;NO1;Bergverksdrift og utvinning;14.08.2021
4832;9544;NO1;Industri;14.08.2021
1598;950;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;14.08.2021
2287;759;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;14.08.2021
12977;1033;NO1;Bygge- og anleggsvirksomhet;14.08.2021
101908;1294;NO1;Fritidsbolig;14.08.2021
1056267;23803;NO1;Husholdning;14.08.2021
92915;18718;NO1;Tjenesteyting;14.08.2021
6735;1263;NO2;Jordbruk, skogbruk og fiske;14.08.2021
11739;547;NO2;Uklassifisert;14.08.2021
509;4106;NO2;Bergverksdrift og utvinning;14.08.2021
4125;42781;NO2;Industri;14.08.2021
2139;2911;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;14.08.2021
1711;362;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;14.08.2021
10599;513;NO2;Bygge- og anleggsvirksomhet;14.08.2021
102542;1369;NO2;Fritidsbolig;14.08.2021
594114;15219;NO2;Husholdning;14.08.2021
63295;12262;NO2;Tjenesteyting;14.08.2021
12908;1385;NO3;Jordbruk, skogbruk og fiske;14.08.2021
3794;162;NO3;Uklassifisert;14.08.2021
235;5427;NO3;Bergverksdrift og utvinning;14.08.2021
3413;33250;NO3;Industri;14.08.2021
1819;2263;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;14.08.2021
1341;157;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;14.08.2021
5380;336;NO3;Bygge- og anleggsvirksomhet;14.08.2021
57977;646;NO3;Fritidsbolig;14.08.2021
384954;9761;NO3;Husholdning;14.08.2021
50048;7821;NO3;Tjenesteyting;14.08.2021
3753;915;NO4;Jordbruk, skogbruk og fiske;14.08.2021
4227;89;NO4;Uklassifisert;14.08.2021
202;492;NO4;Bergverksdrift og utvinning;14.08.2021
1777;17408;NO4;Industri;14.08.2021
1000;3491;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;14.08.2021
823;73;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;14.08.2021
3569;227;NO4;Bygge- og anleggsvirksomhet;14.08.2021
42755;627;NO4;Fritidsbolig;14.08.2021
238702;8327;NO4;Husholdning;14.08.2021
34727;5803;NO4;Tjenesteyting;14.08.2021
1841;237;NO5;Jordbruk, skogbruk og fiske;14.08.2021
1900;100;NO5;Uklassifisert;14.08.2021
155;11388;NO5;Bergverksdrift og utvinning;14.08.2021
1213;10159;NO5;Industri;14.08.2021
1022;1462;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;14.08.2021
863;137;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;14.08.2021
2758;286;NO5;Bygge- og anleggsvirksomhet;14.08.2021
44116;612;NO5;Fritidsbolig;14.08.2021
247662;6121;NO5;Husholdning;14.08.2021
22385;4659;NO5;Tjenesteyting;14.08.2021
9199;895;NO1;Jordbruk, skogbruk og fiske;13.08.2021
7298;419;NO1;Uklassifisert;13.08.2021
297;120;NO1;Bergverksdrift og utvinning;13.08.2021
4832;11707;NO1;Industri;13.08.2021
1598;924;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;13.08.2021
2287;901;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;13.08.2021
12977;1247;NO1;Bygge- og anleggsvirksomhet;13.08.2021
101910;1102;NO1;Fritidsbolig;13.08.2021
1056287;23048;NO1;Husholdning;13.08.2021
92917;22458;NO1;Tjenesteyting;13.08.2021
6735;1300;NO2;Jordbruk, skogbruk og fiske;13.08.2021
11739;579;NO2;Uklassifisert;13.08.2021
509;4141;NO2;Bergverksdrift og utvinning;13.08.2021
4125;43515;NO2;Industri;13.08.2021
2139;2733;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;13.08.2021
1711;429;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;13.08.2021
10599;611;NO2;Bygge- og anleggsvirksomhet;13.08.2021
102542;1176;NO2;Fritidsbolig;13.08.2021
594112;14388;NO2;Husholdning;13.08.2021
63294;13979;NO2;Tjenesteyting;13.08.2021
12908;1340;NO3;Jordbruk, skogbruk og fiske;13.08.2021
3794;153;NO3;Uklassifisert;13.08.2021
235;5515;NO3;Bergverksdrift og utvinning;13.08.2021
3413;34211;NO3;Industri;13.08.2021
1819;2378;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;13.08.2021
1341;168;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;13.08.2021
5380;373;NO3;Bygge- og anleggsvirksomhet;13.08.2021
57976;550;NO3;Fritidsbolig;13.08.2021
384958;8808;NO3;Husholdning;13.08.2021
50048;8751;NO3;Tjenesteyting;13.08.2021
3753;996;NO4;Jordbruk, skogbruk og fiske;13.08.2021
4227;91;NO4;Uklassifisert;13.08.2021
202;528;NO4;Bergverksdrift og utvinning;13.08.2021
1777;18102;NO4;Industri;13.08.2021
1000;3501;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;13.08.2021
823;93;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;13.08.2021
3569;262;NO4;Bygge- og anleggsvirksomhet;13.08.2021
42757;584;NO4;Fritidsbolig;13.08.2021
238704;8289;NO4;Husholdning;13.08.2021
34727;6411;NO4;Tjenesteyting;13.08.2021
1841;238;NO5;Jordbruk, skogbruk og fiske;13.08.2021
1900;102;NO5;Uklassifisert;13.08.2021
155;11651;NO5;Bergverksdrift og utvinning;13.08.2021
1213;10534;NO5;Industri;13.08.2021
1022;1387;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;13.08.2021
863;160;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;13.08.2021
2758;323;NO5;Bygge- og anleggsvirksomhet;13.08.2021
44116;540;NO5;Fritidsbolig;13.08.2021
247655;5858;NO5;Husholdning;13.08.2021
22385;5340;NO5;Tjenesteyting;13.08.2021
9198;875;NO1;Jordbruk, skogbruk og fiske;12.08.2021
7297;413;NO1;Uklassifisert;12.08.2021
297;169;NO1;Bergverksdrift og utvinning;12.08.2021
4832;12468;NO1;Industri;12.08.2021
1598;987;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;12.08.2021
2287;947;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;12.08.2021
12974;1286;NO1;Bygge- og anleggsvirksomhet;12.08.2021
101915;996;NO1;Fritidsbolig;12.08.2021
1056335;22947;NO1;Husholdning;12.08.2021
92919;22768;NO1;Tjenesteyting;12.08.2021
6736;1280;NO2;Jordbruk, skogbruk og fiske;12.08.2021
11740;552;NO2;Uklassifisert;12.08.2021
509;4171;NO2;Bergverksdrift og utvinning;12.08.2021
4126;43948;NO2;Industri;12.08.2021
2139;2671;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;12.08.2021
1711;447;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;12.08.2021
10601;620;NO2;Bygge- og anleggsvirksomhet;12.08.2021
102543;1043;NO2;Fritidsbolig;12.08.2021
594157;14086;NO2;Husholdning;12.08.2021
63302;13984;NO2;Tjenesteyting;12.08.2021
12909;1315;NO3;Jordbruk, skogbruk og fiske;12.08.2021
3796;148;NO3;Uklassifisert;12.08.2021
235;5548;NO3;Bergverksdrift og utvinning;12.08.2021
3413;33811;NO3;Industri;12.08.2021
1819;2510;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;12.08.2021
1342;172;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;12.08.2021
5373;376;NO3;Bygge- og anleggsvirksomhet;12.08.2021
57978;514;NO3;Fritidsbolig;12.08.2021
384967;8700;NO3;Husholdning;12.08.2021
50048;8871;NO3;Tjenesteyting;12.08.2021
3753;1005;NO4;Jordbruk, skogbruk og fiske;12.08.2021
4227;90;NO4;Uklassifisert;12.08.2021
202;548;NO4;Bergverksdrift og utvinning;12.08.2021
1778;18533;NO4;Industri;12.08.2021
1006;3505;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;12.08.2021
823;109;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;12.08.2021
3567;260;NO4;Bygge- og anleggsvirksomhet;12.08.2021
42756;535;NO4;Fritidsbolig;12.08.2021
238712;8135;NO4;Husholdning;12.08.2021
34728;6360;NO4;Tjenesteyting;12.08.2021
1840;238;NO5;Jordbruk, skogbruk og fiske;12.08.2021
1899;99;NO5;Uklassifisert;12.08.2021
155;11380;NO5;Bergverksdrift og utvinning;12.08.2021
1214;10659;NO5;Industri;12.08.2021
1022;1239;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;12.08.2021
863;157;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;12.08.2021
2758;318;NO5;Bygge- og anleggsvirksomhet;12.08.2021
44115;474;NO5;Fritidsbolig;12.08.2021
247665;5667;NO5;Husholdning;12.08.2021
22391;5282;NO5;Tjenesteyting;12.08.2021
9199;840;NO1;Jordbruk, skogbruk og fiske;11.08.2021
7288;440;NO1;Uklassifisert;11.08.2021
297;175;NO1;Bergverksdrift og utvinning;11.08.2021
4832;12545;NO1;Industri;11.08.2021
1600;1060;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;11.08.2021
2287;945;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;11.08.2021
12971;1282;NO1;Bygge- og anleggsvirksomhet;11.08.2021
101905;955;NO1;Fritidsbolig;11.08.2021
1056337;22872;NO1;Husholdning;11.08.2021
92933;22714;NO1;Tjenesteyting;11.08.2021
6736;1177;NO2;Jordbruk, skogbruk og fiske;11.08.2021
11740;516;NO2;Uklassifisert;11.08.2021
509;4163;NO2;Bergverksdrift og utvinning;11.08.2021
4125;45273;NO2;Industri;11.08.2021
2140;2774;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;11.08.2021
1711;436;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;11.08.2021
10591;611;NO2;Bygge- og anleggsvirksomhet;11.08.2021
102543;1018;NO2;Fritidsbolig;11.08.2021
594161;13966;NO2;Husholdning;11.08.2021
63303;13941;NO2;Tjenesteyting;11.08.2021
12910;1303;NO3;Jordbruk, skogbruk og fiske;11.08.2021
3797;148;NO3;Uklassifisert;11.08.2021
235;5508;NO3;Bergverksdrift og utvinning;11.08.2021
3411;33564;NO3;Industri;11.08.2021
1819;2602;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;11.08.2021
1341;173;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;11.08.2021
5367;371;NO3;Bygge- og anleggsvirksomhet;11.08.2021
57978;510;NO3;Fritidsbolig;11.08.2021
384964;8631;NO3;Husholdning;11.08.2021
50034;8807;NO3;Tjenesteyting;11.08.2021
3753;996;NO4;Jordbruk, skogbruk og fiske;11.08.2021
4227;86;NO4;Uklassifisert;11.08.2021
202;537;NO4;Bergverksdrift og utvinning;11.08.2021
1778;17647;NO4;Industri;11.08.2021
1007;3492;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;11.08.2021
823;102;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;11.08.2021
3567;248;NO4;Bygge- og anleggsvirksomhet;11.08.2021
42756;501;NO4;Fritidsbolig;11.08.2021
238703;7842;NO4;Husholdning;11.08.2021
34731;6216;NO4;Tjenesteyting;11.08.2021
1840;234;NO5;Jordbruk, skogbruk og fiske;11.08.2021
1899;98;NO5;Uklassifisert;11.08.2021
155;11165;NO5;Bergverksdrift og utvinning;11.08.2021
1213;10633;NO5;Industri;11.08.2021
1022;1130;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;11.08.2021
862;157;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;11.08.2021
2751;316;NO5;Bygge- og anleggsvirksomhet;11.08.2021
44111;457;NO5;Fritidsbolig;11.08.2021
247653;5504;NO5;Husholdning;11.08.2021
22393;5300;NO5;Tjenesteyting;11.08.2021
9199;804;NO1;Jordbruk, skogbruk og fiske;10.08.2021
7289;423;NO1;Uklassifisert;10.08.2021
297;176;NO1;Bergverksdrift og utvinning;10.08.2021
4832;12126;NO1;Industri;10.08.2021
1600;1111;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;10.08.2021
2287;932;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;10.08.2021
12969;1265;NO1;Bygge- og anleggsvirksomhet;10.08.2021
101896;946;NO1;Fritidsbolig;10.08.2021
1056306;22770;NO1;Husholdning;10.08.2021
92947;22571;NO1;Tjenesteyting;10.08.2021
6735;1219;NO2;Jordbruk, skogbruk og fiske;10.08.2021
11739;516;NO2;Uklassifisert;10.08.2021
509;4173;NO2;Bergverksdrift og utvinning;10.08.2021
4125;45140;NO2;Industri;10.08.2021
2139;2748;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;10.08.2021
1711;440;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;10.08.2021
10585;607;NO2;Bygge- og anleggsvirksomhet;10.08.2021
102537;1025;NO2;Fritidsbolig;10.08.2021
594125;14093;NO2;Husholdning;10.08.2021
63301;13914;NO2;Tjenesteyting;10.08.2021
12908;1291;NO3;Jordbruk, skogbruk og fiske;10.08.2021
3796;137;NO3;Uklassifisert;10.08.2021
235;5488;NO3;Bergverksdrift og utvinning;10.08.2021
3412;34398;NO3;Industri;10.08.2021
1818;2437;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;10.08.2021
1341;172;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;10.08.2021
5358;369;NO3;Bygge- og anleggsvirksomhet;10.08.2021
57971;503;NO3;Fritidsbolig;10.08.2021
384950;8515;NO3;Husholdning;10.08.2021
50033;8764;NO3;Tjenesteyting;10.08.2021
3753;980;NO4;Jordbruk, skogbruk og fiske;10.08.2021
4227;83;NO4;Uklassifisert;10.08.2021
202;532;NO4;Bergverksdrift og utvinning;10.08.2021
1778;17836;NO4;Industri;10.08.2021
1007;3355;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;10.08.2021
823;103;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;10.08.2021
3566;235;NO4;Bygge- og anleggsvirksomhet;10.08.2021
42756;459;NO4;Fritidsbolig;10.08.2021
238706;7456;NO4;Husholdning;10.08.2021
34726;6051;NO4;Tjenesteyting;10.08.2021
1840;233;NO5;Jordbruk, skogbruk og fiske;10.08.2021
1899;96;NO5;Uklassifisert;10.08.2021
155;10903;NO5;Bergverksdrift og utvinning;10.08.2021
1213;10557;NO5;Industri;10.08.2021
1022;1123;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;10.08.2021
862;157;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;10.08.2021
2745;316;NO5;Bygge- og anleggsvirksomhet;10.08.2021
44108;464;NO5;Fritidsbolig;10.08.2021
247643;5519;NO5;Husholdning;10.08.2021
22395;5249;NO5;Tjenesteyting;10.08.2021
9199;820;NO1;Jordbruk, skogbruk og fiske;09.08.2021
7281;441;NO1;Uklassifisert;09.08.2021
297;171;NO1;Bergverksdrift og utvinning;09.08.2021
4832;11137;NO1;Industri;09.08.2021
1600;1104;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;09.08.2021
2287;941;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;09.08.2021
12962;1255;NO1;Bygge- og anleggsvirksomhet;09.08.2021
101882;956;NO1;Fritidsbolig;09.08.2021
1056281;23324;NO1;Husholdning;09.08.2021
92935;22302;NO1;Tjenesteyting;09.08.2021
6737;1260;NO2;Jordbruk, skogbruk og fiske;09.08.2021
11740;512;NO2;Uklassifisert;09.08.2021
509;3720;NO2;Bergverksdrift og utvinning;09.08.2021
4126;44823;NO2;Industri;09.08.2021
2139;2697;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;09.08.2021
1711;447;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;09.08.2021
10586;603;NO2;Bygge- og anleggsvirksomhet;09.08.2021
102540;1032;NO2;Fritidsbolig;09.08.2021
594123;14248;NO2;Husholdning;09.08.2021
63302;13811;NO2;Tjenesteyting;09.08.2021
12908;1285;NO3;Jordbruk, skogbruk og fiske;09.08.2021
3796;140;NO3;Uklassifisert;09.08.2021
235;5454;NO3;Bergverksdrift og utvinning;09.08.2021
3411;33986;NO3;Industri;09.08.2021
1817;2533;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;09.08.2021
1341;164;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;09.08.2021
5354;369;NO3;Bygge- og anleggsvirksomhet;09.08.2021
57972;504;NO3;Fritidsbolig;09.08.2021
384937;8531;NO3;Husholdning;09.08.2021
50031;8716;NO3;Tjenesteyting;09.08.2021
3754;954;NO4;Jordbruk, skogbruk og fiske;09.08.2021
4227;92;NO4;Uklassifisert;09.08.2021
202;515;NO4;Bergverksdrift og utvinning;09.08.2021
1778;18294;NO4;Industri;09.08.2021
1007;3427;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;09.08.2021
823;90;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;09.08.2021
3558;229;NO4;Bygge- og anleggsvirksomhet;09.08.2021
42763;447;NO4;Fritidsbolig;09.08.2021
238718;7307;NO4;Husholdning;09.08.2021
34726;5938;NO4;Tjenesteyting;09.08.2021
1840;236;NO5;Jordbruk, skogbruk og fiske;09.08.2021
1900;95;NO5;Uklassifisert;09.08.2021
155;9459;NO5;Bergverksdrift og utvinning;09.08.2021
1211;10500;NO5;Industri;09.08.2021
1020;1446;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;09.08.2021
862;157;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;09.08.2021
2744;322;NO5;Bygge- og anleggsvirksomhet;09.08.2021
44123;468;NO5;Fritidsbolig;09.08.2021
247641;5606;NO5;Husholdning;09.08.2021
22399;5138;NO5;Tjenesteyting;09.08.2021
9199;770;NO1;Jordbruk, skogbruk og fiske;08.08.2021
7274;460;NO1;Uklassifisert;08.08.2021
297;62;NO1;Bergverksdrift og utvinning;08.08.2021
4831;8461;NO1;Industri;08.08.2021
1600;1051;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;08.08.2021
2288;732;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;08.08.2021
12958;949;NO1;Bygge- og anleggsvirksomhet;08.08.2021
101876;1118;NO1;Fritidsbolig;08.08.2021
1056243;23633;NO1;Husholdning;08.08.2021
92945;17032;NO1;Tjenesteyting;08.08.2021
6735;1201;NO2;Jordbruk, skogbruk og fiske;08.08.2021
11739;477;NO2;Uklassifisert;08.08.2021
509;2878;NO2;Bergverksdrift og utvinning;08.08.2021
4125;42188;NO2;Industri;08.08.2021
2139;3127;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;08.08.2021
1711;317;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;08.08.2021
10580;468;NO2;Bygge- og anleggsvirksomhet;08.08.2021
102529;1180;NO2;Fritidsbolig;08.08.2021
594116;14499;NO2;Husholdning;08.08.2021
63302;11147;NO2;Tjenesteyting;08.08.2021
