Antall målepunkter;Volum (MWh);Prisomraade;Gruppe;Bruksdogn
240952;18077;NO4;Husholdning;29.12.2022
34698;12207;NO4;Tjenesteyting;29.12.2022
1753;335;NO5;Jordbruk, skogbruk og fiske;29.12.2022
5307;258;NO5;Uklassifisert;29.12.2022
163;14097;NO5;Bergverksdrift og utvinning;29.12.2022
1227;10286;NO5;Industri;29.12.2022
971;1340;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;29.12.2022
850;175;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;29.12.2022
2764;424;NO5;Bygge- og anleggsvirksomhet;29.12.2022
45496;1790;NO5;Fritidsbolig;29.12.2022
254397;12353;NO5;Husholdning;29.12.2022
23018;7889;NO5;Tjenesteyting;29.12.2022
7325;1414;NO1;Jordbruk, skogbruk og fiske;28.12.2022
7578;678;NO1;Uklassifisert;28.12.2022
284;168;NO1;Bergverksdrift og utvinning;28.12.2022
4673;12078;NO1;Industri;28.12.2022
1740;6173;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;28.12.2022
2346;1237;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;28.12.2022
12098;2603;NO1;Bygge- og anleggsvirksomhet;28.12.2022
109082;4370;NO1;Fritidsbolig;28.12.2022
1057709;59533;NO1;Husholdning;28.12.2022
112777;37560;NO1;Tjenesteyting;28.12.2022
6688;1572;NO2;Jordbruk, skogbruk og fiske;28.12.2022
11896;748;NO2;Uklassifisert;28.12.2022
493;6429;NO2;Bergverksdrift og utvinning;28.12.2022
4119;36660;NO2;Industri;28.12.2022
2172;9533;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;28.12.2022
1775;556;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;28.12.2022
10457;1232;NO2;Bygge- og anleggsvirksomhet;28.12.2022
102736;2654;NO2;Fritidsbolig;28.12.2022
606120;33180;NO2;Husholdning;28.12.2022
65289;20001;NO2;Tjenesteyting;28.12.2022
12363;2337;NO3;Jordbruk, skogbruk og fiske;28.12.2022
3850;323;NO3;Uklassifisert;28.12.2022
231;4797;NO3;Bergverksdrift og utvinning;28.12.2022
3325;34772;NO3;Industri;28.12.2022
1913;2947;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;28.12.2022
1355;225;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;28.12.2022
5172;900;NO3;Bygge- og anleggsvirksomhet;28.12.2022
62199;1839;NO3;Fritidsbolig;28.12.2022
391030;22766;NO3;Husholdning;28.12.2022
48952;13396;NO3;Tjenesteyting;28.12.2022
3795;1467;NO4;Jordbruk, skogbruk og fiske;28.12.2022
4305;272;NO4;Uklassifisert;28.12.2022
199;5193;NO4;Bergverksdrift og utvinning;28.12.2022
1790;16892;NO4;Industri;28.12.2022
1052;3990;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;28.12.2022
832;152;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;28.12.2022
3581;606;NO4;Bygge- og anleggsvirksomhet;28.12.2022
43860;1379;NO4;Fritidsbolig;28.12.2022
240925;17665;NO4;Husholdning;28.12.2022
34697;11726;NO4;Tjenesteyting;28.12.2022
1753;344;NO5;Jordbruk, skogbruk og fiske;28.12.2022
5307;262;NO5;Uklassifisert;28.12.2022
163;13711;NO5;Bergverksdrift og utvinning;28.12.2022
1227;10471;NO5;Industri;28.12.2022
972;1457;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;28.12.2022
850;167;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;28.12.2022
2763;451;NO5;Bygge- og anleggsvirksomhet;28.12.2022
45495;1922;NO5;Fritidsbolig;28.12.2022
254401;13201;NO5;Husholdning;28.12.2022
23019;8420;NO5;Tjenesteyting;28.12.2022
7325;1323;NO1;Jordbruk, skogbruk og fiske;27.12.2022
7578;662;NO1;Uklassifisert;27.12.2022
284;157;NO1;Bergverksdrift og utvinning;27.12.2022
4673;12094;NO1;Industri;27.12.2022
1740;3441;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;27.12.2022
2346;1259;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;27.12.2022
12101;2432;NO1;Bygge- og anleggsvirksomhet;27.12.2022
109084;3852;NO1;Fritidsbolig;27.12.2022
1057706;53566;NO1;Husholdning;27.12.2022
112772;35150;NO1;Tjenesteyting;27.12.2022
6687;1552;NO2;Jordbruk, skogbruk og fiske;27.12.2022
11896;736;NO2;Uklassifisert;27.12.2022
493;6391;NO2;Bergverksdrift og utvinning;27.12.2022
4120;36176;NO2;Industri;27.12.2022
2172;7562;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;27.12.2022
1775;562;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;27.12.2022
10462;1213;NO2;Bygge- og anleggsvirksomhet;27.12.2022
102733;2447;NO2;Fritidsbolig;27.12.2022
606097;31529;NO2;Husholdning;27.12.2022
65290;19537;NO2;Tjenesteyting;27.12.2022
12363;2274;NO3;Jordbruk, skogbruk og fiske;27.12.2022
3850;309;NO3;Uklassifisert;27.12.2022
231;4446;NO3;Bergverksdrift og utvinning;27.12.2022
3325;35147;NO3;Industri;27.12.2022
1913;2337;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;27.12.2022
1355;222;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;27.12.2022
5172;852;NO3;Bygge- og anleggsvirksomhet;27.12.2022
62200;1632;NO3;Fritidsbolig;27.12.2022
391029;21200;NO3;Husholdning;27.12.2022
48948;12745;NO3;Tjenesteyting;27.12.2022
3795;1406;NO4;Jordbruk, skogbruk og fiske;27.12.2022
4305;266;NO4;Uklassifisert;27.12.2022
199;5143;NO4;Bergverksdrift og utvinning;27.12.2022
1790;16660;NO4;Industri;27.12.2022
1052;4296;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;27.12.2022
832;146;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;27.12.2022
3583;580;NO4;Bygge- og anleggsvirksomhet;27.12.2022
43861;1291;NO4;Fritidsbolig;27.12.2022
240935;16883;NO4;Husholdning;27.12.2022
