area,x,y,type,estimation_date
NO1,4.39369458557241,0.103977558765374,mean_price,2022-09-25
NO1,4.39489423136553,0.109157204075634,mean_price,2022-09-25
NO1,4.39609387715866,0.114548487351544,mean_price,2022-09-25
NO1,4.39729352295178,0.120179132639751,mean_price,2022-09-25
NO1,4.3984931687449,0.126089309564253,mean_price,2022-09-25
NO1,4.39969281453802,0.13223920610423,mean_price,2022-09-25
NO1,4.40089246033115,0.138636334601317,mean_price,2022-09-25
NO1,4.40209210612427,0.145288243641832,mean_price,2022-09-25
NO1,4.40329175191739,0.152204187573518,mean_price,2022-09-25
NO1,4.40449139771051,0.159475191248376,mean_price,2022-09-25
NO1,4.40569104350364,0.167030104464173,mean_price,2022-09-25
NO1,4.40689068929676,0.174876135663563,mean_price,2022-09-25
