area,mean_price,compensation,type,estimation_date
NO2,4.73038975298695,3.46985077768825,quantile_84.6%,2022-09-25
NO2,4.73060362226261,3.47004326003635,quantile_84.7%,2022-09-25
NO2,4.73084053683541,3.47025648315187,quantile_84.8%,2022-09-25
NO2,4.73119742172832,3.47057767955548,quantile_84.9%,2022-09-25
NO2,4.73146409284755,3.47081768356279,quantile_85%,2022-09-25
NO2,4.73178594683505,3.47110735215154,quantile_85.1%,2022-09-25
NO2,4.73219454662195,3.47147509195976,quantile_85.2%,2022-09-25
NO2,4.73244407982673,3.47169967184406,quantile_85.3%,2022-09-25
NO2,4.7326835823668,3.47191522413012,quantile_85.4%,2022-09-25
NO2,4.73285778428079,3.47207200585271,quantile_85.5%,2022-09-25
NO2,4.73306913004945,3.4722622170445,quantile_85.6%,2022-09-25
NO2,4.73336410289591,3.47252769260632,quantile_85.7%,2022-09-25
NO2,4.73356362649646,3.47270726384681,quantile_85.8%,2022-09-25
NO2,4.73398871168291,3.47308984051461,quantile_85.9%,2022-09-25
NO2,4.73424752488831,3.47332277239948,quantile_86%,2022-09-25
NO2,4.73442057914241,3.47347852122817,quantile_86.1%,2022-09-25
NO2,4.73464242757586,3.47367818481828,quantile_86.2%,2022-09-25
NO2,4.73498396548335,3.47398556893501,quantile_86.3%,2022-09-25
NO2,4.7352732567479,3.47424593107311,quantile_86.4%,2022-09-25
NO2,4.73551527833674,3.47446375050306,quantile_86.5%,2022-09-25
NO2,4.7358475224867,3.47476277023803,quantile_86.6%,2022-09-25
NO2,4.7360073295409,3.47490659658681,quantile_86.7%,2022-09-25
NO2,4.73637320141651,3.47523588127486,quantile_86.8%,2022-09-25
NO2,4.7366522658808,3.47548703929272,quantile_86.9%,2022-09-25
NO2,4.73713242363211,3.4759191812689,quantile_87%,2022-09-25
NO2,4.73746605748424,3.47621945173581,quantile_87.1%,2022-09-25
NO2,4.73762366534736,3.47636129881263,quantile_87.2%,2022-09-25
NO2,4.7379200458526,3.47662804126734,quantile_87.3%,2022-09-25
NO2,4.73828298361696,3.47695468525526,quantile_87.4%,2022-09-25
NO2,4.73866035929,3.477294323361,quantile_87.5%,2022-09-25
NO2,4.73890408371867,3.4775136753468,quantile_87.6%,2022-09-25
NO2,4.73916733797071,3.47775060417364,quantile_87.7%,2022-09-25
NO2,4.73942372513576,3.47798135262219,quantile_87.8%,2022-09-25
NO2,4.73969244356588,3.47822319920929,quantile_87.9%,2022-09-25
NO2,4.73994032807232,3.47844629526509,quantile_88%,2022-09-25
NO2,4.74040671218318,3.47886604096486,quantile_88.1%,2022-09-25
NO2,4.74069401236131,3.47912461112518,quantile_88.2%,2022-09-25
NO2,4.74094418363594,3.47934976527235,quantile_88.3%,2022-09-25
NO2,4.74125512150384,3.47962960935346,quantile_88.4%,2022-09-25
NO2,4.74152993875736,3.47987694488162,quantile_88.5%,2022-09-25
NO2,4.74170662698789,3.4800359642891,quantile_88.6%,2022-09-25
NO2,4.74197872691683,3.48028085422514,quantile_88.7%,2022-09-25
NO2,4.74232565418276,3.48059308876448,quantile_88.8%,2022-09-25
NO2,4.74275684906349,3.48098116415714,quantile_88.9%,2022-09-25
NO2,4.74300703587974,3.48120633229176,quantile_89%,2022-09-25
NO2,4.74337789344065,3.48154010409659,quantile_89.1%,2022-09-25
NO2,4.74367521731514,3.48180769558363,quantile_89.2%,2022-09-25
