area,date,start_hour,price,compensation,filtered_price
NO2,2022-12-02,8,5.38635,2.23403851814516,3.15231148185484
NO2,2022-12-02,9,5.0058,2.23403851814516,2.77176148185484
NO2,2022-12-02,10,5.1632375,2.23403851814516,2.92919898185484
NO2,2022-12-02,11,4.7943375,2.23403851814516,2.56029898185484
NO2,2022-12-02,12,5.0105375,2.23403851814516,2.77649898185484
NO2,2022-12-02,13,4.653025,2.23403851814516,2.41898648185484
NO2,2022-12-02,14,3.9286625,2.23403851814516,1.69462398185484
NO2,2022-12-02,15,3.5795875,2.23403851814516,1.34554898185484
NO2,2022-12-02,16,3.607375,2.23403851814516,1.37333648185484
NO2,2022-12-02,17,4.4871375,2.23403851814516,2.25309898185484
NO2,2022-12-02,18,4.0320875,2.23403851814516,1.79804898185484
NO2,2022-12-02,19,3.806675,2.23403851814516,1.57263648185484
NO2,2022-12-02,20,3.23155,2.23403851814516,0.99751148185484
NO2,2022-12-02,21,3.5563,2.23403851814516,1.32226148185484
NO2,2022-12-02,22,3.4558125,2.23403851814516,1.22177398185484
NO2,2022-12-02,23,3.1783,2.23403851814516,0.94426148185484
NO2,2022-12-03,0,2.9807625,2.23403851814516,0.74672398185484
NO2,2022-12-03,1,2.9489625,2.23403851814516,0.71492398185484
NO2,2022-12-03,2,2.8989375,2.23403851814516,0.66489898185484
NO2,2022-12-03,3,2.82225,2.23403851814516,0.58821148185484
NO2,2022-12-03,4,2.8867625,2.23403851814516,0.65272398185484
NO2,2022-12-03,5,3.044625,2.23403851814516,0.81058648185484
NO2,2022-12-03,6,3.1322125,2.23403851814516,0.89817398185484
NO2,2022-12-03,7,3.14465,2.23403851814516,0.91061148185484
NO2,2022-12-03,8,3.192875,2.23403851814516,0.95883648185484
NO2,2022-12-03,9,3.4357625,2.23403851814516,1.20172398185484
NO2,2022-12-03,10,3.7055875,2.23403851814516,1.47154898185484
NO2,2022-12-03,11,3.7624,2.23403851814516,1.52836148185484
NO2,2022-12-03,12,3.601075,2.23403851814516,1.36703648185484
NO2,2022-12-03,13,3.5676,2.23403851814516,1.33356148185484
NO2,2022-12-03,14,3.5878625,2.23403851814516,1.35382398185484
NO2,2022-12-03,15,3.746625,2.23403851814516,1.51258648185484
NO2,2022-12-03,16,3.8469125,2.23403851814516,1.61287398185484
NO2,2022-12-03,17,3.883975,2.23403851814516,1.64993648185484
NO2,2022-12-03,18,3.7707375,2.23403851814516,1.53669898185484
NO2,2022-12-03,19,3.5273375,2.23403851814516,1.29329898185484
NO2,2022-12-03,20,3.3929375,2.23403851814516,1.15889898185484
NO2,2022-12-03,21,3.3751125,2.23403851814516,1.14107398185484
NO2,2022-12-03,22,3.29675,2.23403851814516,1.06271148185484
NO2,2022-12-03,23,3.094125,2.23403851814516,0.86008648185484
NO2,2022-12-04,0,2.96695,2.23403851814516,0.73291148185484
NO2,2022-12-04,1,2.8283125,2.23403851814516,0.59427398185484
NO2,2022-12-04,2,2.97325,2.23403851814516,0.73921148185484
NO2,2022-12-04,3,2.7096,2.23403851814516,0.47556148185484
