date,Nettselskap,fylkeNr,energileddInk,energileddEks,time_fom,time_tom
2024-11-04,TINFOS AS,56,19,19,0,23
2024-11-04,UVDAL KRAFTFORSYNING SA,33,46.4,20.68,6,21
2024-11-04,UVDAL KRAFTFORSYNING SA,33,36.4,12.68,22,5
2024-11-04,VANG ENERGIVERK AS,34,31.8,9,0,23
2024-11-04,VANG ENERGIVERK AS,46,31.8,9,0,23
2024-11-04,VESTALL AS,18,26.04,9.6,6,21
2024-11-04,VESTALL AS,18,21.74,5.3,22,5
2024-11-04,VESTALL AS,55,26.04,9.6,6,21
2024-11-04,VESTALL AS,55,21.74,5.3,22,5
2024-11-04,VESTMAR NETT AS,40,40.1,15.64,0,23
2024-11-04,VEVIG AS,34,47.3,21.4,6,21
2024-11-04,VEVIG AS,34,37.8,13.8,22,5
2024-11-04,VISSI AS,55,25,25,6,21
2024-11-04,VISSI AS,55,12,12,22,5
2024-11-04,VISSI AS,56,25,25,6,21
2024-11-04,VISSI AS,56,12,12,22,5
2024-11-04,VONETT AS,46,39.3,15,6,21
2024-11-04,VONETT AS,46,45.55,20,22,5
