postnr,poststed,kommune,NO 1,NO 2,NO 3,NO 4,NO 5
0483,OSLO,0301,21114.6916500349,0,0,0,0
0483,OSLO,0301,69129.0688499455,0,0,0,0
0484,OSLO,0301,580592.339000142,0,0,0,0
0485,OSLO,0301,320812.379649992,0,0,0,0
0486,OSLO,0301,141563.349699975,0,0,0,0
0487,OSLO,0301,525276.71950001,0,0,0,0
0488,OSLO,0301,530751.706549883,0,0,0,0
0489,OSLO,0301,419919.876550132,0,0,0,0
0490,OSLO,0301,1750017.78949995,0,0,0,0
0491,OSLO,0301,637936.206599824,0,0,0,0
0492,OSLO,0301,155927.384650038,0,0,0,0
0493,OSLO,0301,584934.893299907,0,0,0,0
0494,OSLO,0301,342139.683550019,0,0,0,0
0495,OSLO,0301,547449.743600018,0,0,0,0
0496,OSLO,0301,10869682.6922496,0,0,0,0
0550,OSLO,0301,42979.7722500013,0,0,0,0
0551,OSLO,0301,133055.651200021,0,0,0,0
0551,OSLO,0301,5858.8719000034,0,0,0,0
0552,OSLO,0301,107655.227299922,0,0,0,0
0553,OSLO,0301,80545.8842499421,0,0,0,0
0553,OSLO,0301,2375.24135000166,0,0,0,0
0553,OSLO,0301,19977.4196000232,0,0,0,0
0554,OSLO,0301,48340.9427999966,0,0,0,0
0554,OSLO,0301,10838.5344999954,0,0,0,0
0554,OSLO,0301,18597.1797000282,0,0,0,0
0555,OSLO,0301,5033.83830001764,0,0,0,0
0555,OSLO,0301,66509.9363499796,0,0,0,0
0555,OSLO,0301,20383.033750033,0,0,0,0
0556,OSLO,0301,78865.0587500637,0,0,0,0
0557,OSLO,0301,20468.0414000209,0,0,0,0
0557,OSLO,0301,59134.2274000002,0,0,0,0
0558,OSLO,0301,129966.872350018,0,0,0,0
0559,OSLO,0301,3805.15930000227,0,0,0,0
0559,OSLO,0301,29930.2981500919,0,0,0,0
0560,OSLO,0301,4353.94584998628,0,0,0,0
0560,OSLO,0301,22038.6483499696,0,0,0,0
0560,OSLO,0301,34764.5768500194,0,0,0,0
0561,OSLO,0301,84429.9570999788,0,0,0,0
0562,OSLO,0301,220606.263050075,0,0,0,0
