date,Nettselskap,fylkeNr,energileddInk,energileddEks,time_fom,time_tom
2024-11-04,ELVIA AS,32,52.5,25.56,6,21
2024-11-04,ELVIA AS,32,45,19.56,22,5
2024-11-04,ELVIA AS,33,52.5,25.56,6,21
2024-11-04,ELVIA AS,33,45,19.56,22,5
2024-11-04,ELVIA AS,34,52.5,25.56,6,21
2024-11-04,ELVIA AS,34,45,19.56,22,5
2024-11-04,ENIDA AS,11,48.05,22,6,22
2024-11-04,ENIDA AS,11,40.55,16,23,5
2024-11-04,ENIDA AS,42,48.05,22,6,22
2024-11-04,ENIDA AS,42,40.55,16,23,5
2024-11-04,ETNA NETT AS,34,35.38,11.86,0,23
2024-11-04,EVERKET AS,40,51.55,24.8,0,23
2024-11-04,FAGNE AS,11,56.8,29,6,21
2024-11-04,FAGNE AS,11,46.8,21,22,5
2024-11-04,FAGNE AS,46,56.8,29,6,21
2024-11-04,FAGNE AS,46,46.8,21,22,5
2024-11-04,FJELLNETT AS,34,33.81,10.61,0,23
2024-11-04,FØIE AS,32,42.43,17.5,7,21
2024-11-04,FØIE AS,32,34.3,11,22,6
2024-11-04,FØIE AS,33,42.43,17.5,7,21
2024-11-04,FØIE AS,33,34.3,11,22,6
2024-11-04,FØRE AS,40,45.91,20.29,0,23
2024-11-04,GLITRE NETT AS,11,53,25.96,6,21
2024-11-04,GLITRE NETT AS,11,41,16.36,22,5
2024-11-04,GLITRE NETT AS,32,53,25.96,6,21
2024-11-04,GLITRE NETT AS,32,41,16.36,22,5
2024-11-04,GLITRE NETT AS,33,53,25.96,6,21
2024-11-04,GLITRE NETT AS,33,41,16.36,22,5
2024-11-04,GLITRE NETT AS,34,53,25.96,6,21
2024-11-04,GLITRE NETT AS,34,41,16.36,22,5
2024-11-04,GLITRE NETT AS,40,53,25.96,6,21
2024-11-04,GLITRE NETT AS,40,41,16.36,22,5
2024-11-04,GLITRE NETT AS,42,53,25.96,6,21
2024-11-04,GLITRE NETT AS,42,41,16.36,22,5
2024-11-04,GLITRE NETT AS,46,53,25.96,6,21
2024-11-04,GLITRE NETT AS,46,41,16.36,22,5
2024-11-04,GRIUG AS,34,32.8,9.8,0,23
2024-11-04,HALLINGDAL KRAFTNETT AS,33,34.21,10.93,6,21
2024-11-04,HALLINGDAL KRAFTNETT AS,33,28.9,6.68,22,5
2024-11-04,HAVNETT AS,46,58.95,30.72,0,23
2024-11-04,HEMSIL NETT AS,33,48.05,22,6,21
2024-11-04,HEMSIL NETT AS,33,41.8,17,22,5
2024-11-04,HØLAND OG SETSKOG ELVERK AS,32,53.05,26,6,21
2024-11-04,HØLAND OG SETSKOG ELVERK AS,32,46.8,21,22,5
2024-11-04,INDRE HORDALAND KRAFTNETT AS,46,54.99,27.55,0,23
2024-11-04,ISALTEN NETT AS,18,28.94,12.5,6,21
2024-11-04,ISALTEN NETT AS,18,18.94,2.5,22,5
2024-11-04,JÆREN EVERK AS,11,45.55,20,6,21
2024-11-04,JÆREN EVERK AS,11,38.05,14,22,5
2024-11-04,KE NETT AS,11,53.05,26,6,21
2024-11-04,KE NETT AS,11,38.05,14,22,5
2024-11-04,KLIVE AS,34,39.71,15.33,0,23
2024-11-04,KVAM ENERGI NETT AS,46,49.93,23.5,6,21
2024-11-04,KVAM ENERGI NETT AS,46,39.93,15.5,22,5
2024-11-04,KYSTNETT AS,18,33.44,17,0,23
2024-11-04,LEDE AS,33,51.03,24.38,0,23
2024-11-04,LEDE AS,39,51.03,24.38,0,23
2024-11-04,LEDE AS,40,51.03,24.38,0,23
2024-11-04,LEGA NETT AS,56,18.46,18.46,7,21
2024-11-04,LEGA NETT AS,56,15.46,15.46,22,6
2024-11-04,LINEA AS,18,42.04,25.6,6,21
2024-11-04,LINEA AS,18,33.04,16.6,22,5
2024-11-04,LINJA AS,15,49.78,23.38,6,21
2024-11-04,LINJA AS,15,41.03,16.38,22,5
2024-11-04,LINJA AS,46,55.84,28.23,6,21
2024-11-04,LINJA AS,46,47.33,21.42,22,5
2024-11-04,LNETT AS,11,52.39,25.47,6,21
2024-11-04,LNETT AS,11,44.39,19.07,22,5
2024-11-04,LUCERNA AS,56,19.45,19.45,6,21
2024-11-04,LUCERNA AS,56,13.45,13.45,22,5
2024-11-04,LUOSTEJOK NETT AS,56,22.3,22.3,0,23
2024-11-04,LYSNA AS,46,60.55,32,6,21
2024-11-04,LYSNA AS,46,50.55,24,22,5
2024-11-04,MELLOM AS,15,55.99,28.35,6,21
2024-11-04,MELLOM AS,15,49.74,23.35,22,5
