area,x,y,type,estimation_date,computation_year,computation_month
NO1,1.30209194403521,0.451567980084585,mean_price,2023-03-08,2023,3
NO1,1.30919035231481,0.459768814325883,mean_price,2023-03-08,2023,3
NO1,1.31628876059441,0.467996162446741,mean_price,2023-03-08,2023,3
NO1,1.32338716887401,0.47623614658482,mean_price,2023-03-08,2023,3
NO1,1.33048557715361,0.484484546314698,mean_price,2023-03-08,2023,3
NO1,1.33758398543321,0.492737163952165,mean_price,2023-03-08,2023,3
NO1,1.34468239371281,0.500988021115835,mean_price,2023-03-08,2023,3
NO1,1.35178080199241,0.509229301554362,mean_price,2023-03-08,2023,3
NO1,1.35887921027201,0.517457362604765,mean_price,2023-03-08,2023,3
NO1,1.36597761855161,0.525668362843792,mean_price,2023-03-08,2023,3
NO1,1.37307602683121,0.53385818655377,mean_price,2023-03-08,2023,3
NO1,1.38017443511081,0.542010729957747,mean_price,2023-03-08,2023,3
NO1,1.38727284339041,0.55013066682157,mean_price,2023-03-08,2023,3
NO1,1.39437125167001,0.558214703439918,mean_price,2023-03-08,2023,3
NO1,1.40146965994961,0.566259607049804,mean_price,2023-03-08,2023,3
NO1,1.40856806822921,0.574252609017802,mean_price,2023-03-08,2023,3
NO1,1.41566647650881,0.582188015621056,mean_price,2023-03-08,2023,3
NO1,1.42276488478841,0.590071606813707,mean_price,2023-03-08,2023,3
NO1,1.42986329306801,0.597900711501428,mean_price,2023-03-08,2023,3
NO1,1.43696170134761,0.605672711352917,mean_price,2023-03-08,2023,3
NO1,1.44406010962721,0.613359872467541,mean_price,2023-03-08,2023,3
NO1,1.45115851790681,0.620981358279445,mean_price,2023-03-08,2023,3
NO1,1.45825692618641,0.628535456556607,mean_price,2023-03-08,2023,3
NO1,1.46535533446601,0.636019929120925,mean_price,2023-03-08,2023,3
NO1,1.47245374274561,0.643419013230395,mean_price,2023-03-08,2023,3
NO1,1.47955215102521,0.65072557502196,mean_price,2023-03-08,2023,3
NO1,1.48665055930481,0.657953272018904,mean_price,2023-03-08,2023,3
NO1,1.49374896758441,0.66510000230105,mean_price,2023-03-08,2023,3
NO1,1.50084737586401,0.672163665588625,mean_price,2023-03-08,2023,3
NO1,1.50794578414361,0.679109244055212,mean_price,2023-03-08,2023,3
NO1,1.51504419242321,0.685962114487523,mean_price,2023-03-08,2023,3
NO1,1.52214260070281,0.692722676319209,mean_price,2023-03-08,2023,3
NO1,1.52924100898241,0.699388712597745,mean_price,2023-03-08,2023,3
NO1,1.53633941726201,0.705942055385575,mean_price,2023-03-08,2023,3
NO1,1.54343782554161,0.712370045663978,mean_price,2023-03-08,2023,3
NO1,1.55053623382121,0.718693452237126,mean_price,2023-03-08,2023,3
NO1,1.55763464210081,0.724909798451908,mean_price,2023-03-08,2023,3
NO1,1.56473305038041,0.731016576763068,mean_price,2023-03-08,2023,3
NO1,1.57183145866001,0.736970532194876,mean_price,2023-03-08,2023,3
NO1,1.57892986693961,0.742800384045748,mean_price,2023-03-08,2023,3
NO1,1.58602827521921,0.748509144271807,mean_price,2023-03-08,2023,3
NO1,1.59312668349881,0.754094001203694,mean_price,2023-03-08,2023,3
NO1,1.60022509177841,0.759534068167896,mean_price,2023-03-08,2023,3
NO1,1.60732350005801,0.764807555940422,mean_price,2023-03-08,2023,3
NO1,1.61442190833761,0.769944483963256,mean_price,2023-03-08,2023,3
NO1,1.62152031661721,0.774941813543207,mean_price,2023-03-08,2023,3
NO1,1.62861872489681,0.779796491713621,mean_price,2023-03-08,2023,3
NO1,1.63571713317641,0.784456066536203,mean_price,2023-03-08,2023,3
NO1,1.64281554145601,0.788952187923376,mean_price,2023-03-08,2023,3
NO1,1.64991394973561,0.793292412251972,mean_price,2023-03-08,2023,3
NO1,1.65701235801521,0.797473712644223,mean_price,2023-03-08,2023,3
NO1,1.66411076629481,0.801473766521527,mean_price,2023-03-08,2023,3
NO1,1.67120917457441,0.8052596370744,mean_price,2023-03-08,2023,3
NO1,1.67830758285401,0.808874196797319,mean_price,2023-03-08,2023,3
NO1,1.68540599113361,0.812314847591229,mean_price,2023-03-08,2023,3
NO1,1.69250439941321,0.815579064671297,mean_price,2023-03-08,2023,3
NO1,1.69960280769281,0.818608877120444,mean_price,2023-03-08,2023,3
NO1,1.70670121597241,0.821438373625205,mean_price,2023-03-08,2023,3
NO1,1.71379962425201,0.824082648484854,mean_price,2023-03-08,2023,3
NO1,1.72089803253161,0.82654021360329,mean_price,2023-03-08,2023,3
NO1,1.72799644081121,0.828791803067893,mean_price,2023-03-08,2023,3
NO1,1.73509484909081,0.830796647500048,mean_price,2023-03-08,2023,3
NO1,1.7421932573704,0.832611340512594,mean_price,2023-03-08,2023,3
NO1,1.74929166565,0.834235954853409,mean_price,2023-03-08,2023,3
NO1,1.7563900739296,0.835670746616783,mean_price,2023-03-08,2023,3
NO1,1.7634884822092,0.83686352372516,mean_price,2023-03-08,2023,3
NO1,1.7705868904888,0.837848294568992,mean_price,2023-03-08,2023,3
NO1,1.7776852987684,0.838648487675375,mean_price,2023-03-08,2023,3
NO1,1.784783707048,0.839266201624893,mean_price,2023-03-08,2023,3
NO1,1.7918821153276,0.839690863868262,mean_price,2023-03-08,2023,3
NO1,1.7989805236072,0.839883984743095,mean_price,2023-03-08,2023,3
NO1,1.8060789318868,0.839907122240198,mean_price,2023-03-08,2023,3
NO1,1.8131773401664,0.839763973352808,mean_price,2023-03-08,2023,3
NO1,1.820275748446,0.839458360755241,mean_price,2023-03-08,2023,3
NO1,1.8273741567256,0.838955279681789,mean_price,2023-03-08,2023,3
NO1,1.8344725650052,0.838282603328487,mean_price,2023-03-08,2023,3
NO1,1.8415709732848,0.837465999552034,mean_price,2023-03-08,2023,3
NO1,1.8486693815644,0.836509999231079,mean_price,2023-03-08,2023,3
NO1,1.855767789844,0.835412499123713,mean_price,2023-03-08,2023,3
NO1,1.8628661981236,0.83414440814504,mean_price,2023-03-08,2023,3
NO1,1.8699646064032,0.832756140759694,mean_price,2023-03-08,2023,3
NO1,1.8770630146828,0.831251799390556,mean_price,2023-03-08,2023,3
NO1,1.8841614229624,0.829635368806933,mean_price,2023-03-08,2023,3
NO1,1.891259831242,0.827886392720389,mean_price,2023-03-08,2023,3
