nettselskap,konsesjonType,eierType,NO 1,NO 2,NO 3,NO 4,NO 5
MIP INDUSTRINETT AS_dup_1,VANLIG,INDUSTRI,0,0,0,44715.1627928857,0
MIP INDUSTRINETT AS_dup_2,VANLIG,INDUSTRI,0,0,0,2604.67000002367,0
MIP INDUSTRINETT AS_dup_3,VANLIG,INDUSTRI,0,0,0,225797.493785702,0
MIP INDUSTRINETT AS_dup_4,VANLIG,INDUSTRI,0,0,0,2547070.61852682,0
MIP INDUSTRINETT AS_dup_5,VANLIG,INDUSTRI,0,0,0,7932306.73664805,0
MODALEN KRAFTLAG SA,VANLIG,EVERK,0,0,0,0,378554123.226843
MØRENETT AS,VANLIG,EVERK,0,0,981279692.256699,0,0
MØRENETT AS_dup_1,VANLIG,EVERK,0,0,7130153148.46307,0,0.982307893959264
N01 UTILITIES AS, ,INDUSTRI,0,502787.57722993,0,0,0
NETTINORD AS,VANLIG,EVERK,0,0,0,8781184709.02737,0
NETTSELSKAPET AS,VANLIG,EVERK,0,0,1805063377.19558,0,0
NETTSELSKAPET AS_dup_1,VANLIG,EVERK,0,0,2258517208.48614,0,0
NORCEM AS,VANLIG,INDUSTRI,0,123372.11919338,0,0,0
NORCEM AS_dup_1,VANLIG,INDUSTRI,0,451732.057313584,0,0,0
NORCEM AS_dup_2,INDUSTRI,INDUSTRI,0,0,0,213837.39749979,0
NORCEM AS_dup_3,INDUSTRI,INDUSTRI,0,0,0,4404391.11249942,0
NORDIC PAPER AS, ,INDUSTRI,402910.705089238,0,0,0,0
NORDVEST NETT AS,VANLIG,EVERK,0,0,2122252173.13626,0,0
NORE ENERGI AS,VANLIG,EVERK,0.75241616372036,0.0107111895922571,0,0,775174550.186501
NOREFJELL NETT AS,VANLIG,EVERK,374984920.420946,0,0,0,1.23261082488035
NORGESMØLLENE AS, ,INDUSTRI,0,0,37012.4626965187,0,0
NORGESNETT AS,VANLIG,EVERK,751700891.84662,0.381443500518799,0,0,0
NORGESNETT AS_dup_1,VANLIG,EVERK,143260350.448,0,0,0,0
NORGESNETT AS_dup_2,VANLIG,EVERK,398704788.962132,0,0,0,0
NORGESNETT AS_dup_3,VANLIG,EVERK,116634039.110638,0,0,0,0
NORGESNETT AS_dup_4,VANLIG,EVERK,0,0,0,0,221054968.732682
NORSKE SKOG SKOGN AS,VANLIG,INDUSTRI,0,0,1336744.81221934,0,0
NTNU,VANLIG,NÆRINGSPARK,0,0,105624.391727774,0,0
NTNU_dup_1,VANLIG,NÆRINGSPARK,0,0,82891.4192845048,0,0
